 Destination Port, Flow Duration, Total Fwd Packets, Total Backward Packets,Total Length of Fwd Packets, Total Length of Bwd Packets, Fwd Packet Length Max, Fwd Packet Length Min, Fwd Packet Length Mean, Fwd Packet Length Std,Bwd Packet Length Max, Bwd Packet Length Min, Bwd Packet Length Mean, Bwd Packet Length Std,Flow Bytes/s, Flow Packets/s, Flow IAT Mean, Flow IAT Std, Flow IAT Max, Flow IAT Min,Fwd IAT Total, Fwd IAT Mean, Fwd IAT Std, Fwd IAT Max, Fwd IAT Min,Bwd IAT Total, Bwd IAT Mean, Bwd IAT Std, Bwd IAT Max, Bwd IAT Min,Fwd PSH Flags, Bwd PSH Flags, Fwd URG Flags, Bwd URG Flags, Fwd Header Length, Bwd Header Length,Fwd Packets/s, Bwd Packets/s, Min Packet Length, Max Packet Length, Packet Length Mean, Packet Length Std, Packet Length Variance,FIN Flag Count, SYN Flag Count, RST Flag Count, PSH Flag Count, ACK Flag Count, URG Flag Count, CWE Flag Count, ECE Flag Count, Down/Up Ratio, Average Packet Size, Avg Fwd Segment Size, Avg Bwd Segment Size, Fwd Header Length.1,Fwd Avg Bytes/Bulk, Fwd Avg Packets/Bulk, Fwd Avg Bulk Rate, Bwd Avg Bytes/Bulk, Bwd Avg Packets/Bulk,Bwd Avg Bulk Rate,Subflow Fwd Packets, Subflow Fwd Bytes, Subflow Bwd Packets, Subflow Bwd Bytes,Init_Win_bytes_forward, Init_Win_bytes_backward, act_data_pkt_fwd, min_seg_size_forward,Active Mean, Active Std, Active Max, Active Min,Idle Mean, Idle Std, Idle Max, Idle Min, Label,source_file
80,9392887,4,0,24,0,6,6,6.0,0.0,0,0,0.0,0.0,2.555124958,0.42585416,3130962.333,5421269.376,9390905,975,9392887,3130962.333,5421269.376,9390905,975,0,0.0,0.0,0,0,0,0,0,0,80,0,0.42585416,0.0,6,6,6.0,0.0,0.0,0,0,0,0,1,0,0,0,0,7.5,6.0,0.0,80,0,0,0,0,0,0,4,24,0,0,256,-1,3,20,1982.0,0.0,1982,1982,9390905.0,0.0,9390905,9390905,DDoS,Friday-WorkingHours-Afternoon-DDos.pcap_ISCX.csv
443,82,2,0,12,0,6,6,6.0,0.0,0,0,0.0,0.0,146341.4634,24390.2439,82.0,0.0,82,82,82,82.0,0.0,82,82,0,0.0,0.0,0,0,0,0,0,0,40,0,24390.2439,0.0,6,6,6.0,0.0,0.0,0,0,0,0,1,0,0,0,0,9.0,6.0,0.0,40,0,0,0,0,0,0,2,12,0,0,255,-1,1,20,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN,Wednesday-workingHours.pcap_ISCX.csv
22,1295628,35,42,2622,7038,408,0,74.91428571,105.2809606,976,0,167.5714286,317.1563547,7455.843807,59.43063904,17047.73684,110008.8246,952191,1,1295628,38106.70588,173327.1529,995933,3,343294,8373.02439,22588.7095,126130,1,0,0,0,0,724,864,27.01392684,32.4167122,0,976,123.8461538,246.5452766,60784.57343,0,0,0,1,0,0,0,0,1,125.4545455,74.91428571,167.5714286,724,0,0,0,0,0,0,35,2622,42,7038,8192,245,33,20,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN,Wednesday-workingHours.pcap_ISCX.csv
53,215,2,2,84,204,42,42,42.0,0.0,102,102,102.0,0.0,1339534.884,18604.65116,71.66666667,40.99186911,119,48,48,48.0,0.0,48,48,48,48.0,0.0,48,48,0,0,0,0,64,64,9302.325581,9302.325581,42,102,66.0,32.86335345,1080.0,0,0,0,0,0,0,0,0,1,82.5,42.0,102.0,64,0,0,0,0,0,0,2,84,2,204,-1,-1,1,32,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN,Wednesday-workingHours.pcap_ISCX.csv
80,99627732,6,7,430,11595,412,0,71.66666667,166.7545102,5792,0,1656.428571,2120.732252,120.699325,0.130485757,8302311.0,28700000.0,99600000,0,99600000,19900000.0,44500000.0,99600000,2,99600000,16600000.0,40600000.0,99600000,45,0,0,0,0,164,232,0.060224195,0.070261561,0,5792,859.3571429,1664.61553,2770944.863,1,0,0,0,0,0,0,0,1,925.4615385,71.66666667,1656.428571,164,0,0,0,0,0,0,6,430,7,11595,0,235,3,20,10004.0,0.0,10004,10004,99600000.0,0.0,99600000,99600000,DoS Hulk,Wednesday-workingHours.pcap_ISCX.csv
80,3,2,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,666666.6667,3.0,0.0,3,3,3,3.0,0.0,3,3,0,0.0,0.0,0,0,0,0,0,0,64,0,666666.6667,0.0,0,0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0.0,0.0,0.0,64,0,0,0,0,0,0,2,0,0,0,274,-1,0,32,0.0,0.0,0,0,0.0,0.0,0,0,DoS Hulk,Wednesday-workingHours.pcap_ISCX.csv
53,50888,2,2,82,176,41,41,41.0,0.0,88,88,88.0,0.0,5069.957554,78.60399308,16962.66667,29337.77467,50839,1,1,1.0,0.0,1,1,48,48.0,0.0,48,48,0,0,0,0,64,80,39.30199654,39.30199654,41,88,59.8,25.7429602,662.7,0,0,0,0,0,0,0,0,1,74.75,41.0,88.0,64,0,0,0,0,0,0,2,82,2,176,-1,-1,1,32,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN,Wednesday-workingHours.pcap_ISCX.csv
53,60706,2,2,66,228,33,33,33.0,0.0,114,114,114.0,0.0,4843.01387,65.89134517,20235.33333,35045.16135,60702,1,1,1.0,0.0,1,1,3,3.0,0.0,3,3,0,0,0,0,64,64,32.94567259,32.94567259,33,114,65.4,44.36552716,1968.3,0,0,0,0,0,0,0,0,1,81.75,33.0,114.0,64,0,0,0,0,0,0,2,66,2,228,-1,-1,1,32,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN,Wednesday-workingHours.pcap_ISCX.csv
80,84709271,8,8,630,11595,312,0,78.75,143.9799093,2896,0,1449.375,1338.89474,144.3171433,0.188881333,5647284.733,21800000.0,84400000,0,84600000,12100000.0,31900000.0,84400000,0,351625,50232.14286,90079.83326,223986,4,0,0,0,0,252,264,0.094440666,0.094440666,0,2896,719.1176471,1139.009651,1297342.985,0,0,0,0,1,0,0,0,1,764.0625,78.75,1449.375,252,0,0,0,0,0,0,8,630,8,11595,251,235,3,20,4.0,0.0,4,4,84400000.0,0.0,84400000,84400000,DoS Hulk,Wednesday-workingHours.pcap_ISCX.csv
443,115591335,41,45,932,65855,364,0,22.73170732,64.70472332,4380,0,1463.444444,1253.583256,577.7855235,0.744000405,1359898.059,3397196.907,10000000,4,116000000,2889783.375,4521889.708,10000000,49,110000000,2509860.841,4388622.715,10000000,48,0,0,0,0,832,1044,0.354697867,0.389302537,0,4380,767.6666667,1153.550421,1330678.574,0,0,0,1,0,0,0,0,1,776.5930233,22.73170732,1463.444444,832,0,0,0,0,0,0,41,932,45,65855,8192,980,40,20,37007.5,48253.93168,190234,22929,9595598.583,1405015.732,10000000,5134082,BENIGN,Wednesday-workingHours.pcap_ISCX.csv
