 Destination Port, Flow Duration, Total Fwd Packets, Total Backward Packets,Total Length of Fwd Packets, Total Length of Bwd Packets, Fwd Packet Length Max, Fwd Packet Length Min, Fwd Packet Length Mean, Fwd Packet Length Std,Bwd Packet Length Max, Bwd Packet Length Min, Bwd Packet Length Mean, Bwd Packet Length Std,Flow Bytes/s, Flow Packets/s, Flow IAT Mean, Flow IAT Std, Flow IAT Max, Flow IAT Min,Fwd IAT Total, Fwd IAT Mean, Fwd IAT Std, Fwd IAT Max, Fwd IAT Min,Bwd IAT Total, Bwd IAT Mean, Bwd IAT Std, Bwd IAT Max, Bwd IAT Min,Fwd PSH Flags, Bwd PSH Flags, Fwd URG Flags, Bwd URG Flags, Fwd Header Length, Bwd Header Length,Fwd Packets/s, Bwd Packets/s, Min Packet Length, Max Packet Length, Packet Length Mean, Packet Length Std, Packet Length Variance,FIN Flag Count, SYN Flag Count, RST Flag Count, PSH Flag Count, ACK Flag Count, URG Flag Count, CWE Flag Count, ECE Flag Count, Down/Up Ratio, Average Packet Size, Avg Fwd Segment Size, Avg Bwd Segment Size, Fwd Header Length.1,Fwd Avg Bytes/Bulk, Fwd Avg Packets/Bulk, Fwd Avg Bulk Rate, Bwd Avg Bytes/Bulk, Bwd Avg Packets/Bulk,Bwd Avg Bulk Rate,Subflow Fwd Packets, Subflow Fwd Bytes, Subflow Bwd Packets, Subflow Bwd Bytes,Init_Win_bytes_forward, Init_Win_bytes_backward, act_data_pkt_fwd, min_seg_size_forward,Active Mean, Active Std, Active Max, Active Min,Idle Mean, Idle Std, Idle Max, Idle Min, Label,source_file
80,9392887,4,0,24,0,6,6,6.0,0.0,0,0,0.0,0.0,2.555124958,0.42585416,3130962.333,5421269.376,9390905,975,9392887,3130962.333,5421269.376,9390905,975,0,0.0,0.0,0,0,0,0,0,0,80,0,0.42585416,0.0,6,6,6.0,0.0,0.0,0,0,0,0,1,0,0,0,0,7.5,6.0,0.0,80,0,0,0,0,0,0,4,24,0,0,256,-1,3,20,1982.0,0.0,1982,1982,9390905.0,0.0,9390905,9390905,DDoS,Friday-WorkingHours-Afternoon-DDos.pcap_ISCX.csv
64007,5438011,1,5,6,30,6,6,6.0,0.0,6,6,6.0,0.0,6.620067521,1.103344587,1087602.2,2416784.358,5410860,3,0,0.0,0.0,0,0,5422871,1355717.75,2703434.086,5410860,3,0,0,0,0,20,100,0.183890764,0.919453822,6,6,6.0,0.0,0.0,0,0,0,0,1,1,0,0,5,7.0,6.0,6.0,20,0,0,0,0,0,0,1,6,5,30,229,0,0,20,27151.0,0.0,27151,27151,5410860.0,0.0,5410860,5410860,BENIGN,Friday-WorkingHours-Afternoon-DDos.pcap_ISCX.csv
80,115615609,20,15,1728,3463,578,0,86.4,211.0179339,1734,0,230.8666667,514.538471,44.89878179,0.30272729,3400459.088,4722345.818,10100000,17,116000000,6085032.053,5002940.075,10200000,118,113000000,8061410.357,4296214.489,10200000,121410,0,0,0,0,648,488,0.172987023,0.129740267,0,1734,144.1944444,368.503446,135794.7897,0,0,0,1,0,0,0,0,0,148.3142857,86.4,230.8666667,648,0,0,0,0,0,0,20,1728,15,3463,29200,255,3,32,160916.2727,134508.6864,566475,120118,10100000.0,46752.4843,10100000,9988018,BENIGN,Friday-WorkingHours-Afternoon-DDos.pcap_ISCX.csv
80,9827,3,5,26,11601,20,0,8.666666667,10.26320288,7300,0,2320.2,3022.508098,1183168.821,814.0836471,1403.857143,2919.353606,7954,4,8005,4002.5,5654.732929,8001,4,9780,2445.0,3835.650836,8150,190,0,0,0,0,72,112,305.2813677,508.8022794,0,7300,1291.888889,2460.652985,6054813.111,0,0,0,1,0,0,0,0,1,1453.375,8.666666667,2320.2,72,0,0,0,0,0,0,3,26,5,11601,8192,229,2,20,0.0,0.0,0,0,0.0,0.0,0,0,DDoS,Friday-WorkingHours-Afternoon-DDos.pcap_ISCX.csv
53315,87583370,7,9,11607,62,4380,0,1658.142857,1762.272815,20,0,6.888888889,5.30199124,133.2330555,0.182683082,5838891.333,21300000.0,82600000,0,87600000,14600000.0,35400000.0,86800000,49,86900000,10900000.0,29000000.0,82600000,0,0,0,0,0,152,192,0.079923849,0.102759234,0,4380,686.7647059,1366.16267,1866400.441,0,0,0,0,1,1,0,0,1,729.6875,1658.142857,6.888888889,152,0,0,0,0,0,0,7,11607,9,62,229,256,5,20,4219842.0,0.0,4219842,4219842,82600000.0,0.0,82600000,82600000,BENIGN,Friday-WorkingHours-Afternoon-DDos.pcap_ISCX.csv
80,11095658,4,0,24,0,6,6,6.0,0.0,0,0,0.0,0.0,2.163008269,0.360501378,3698552.667,6405211.663,11100000,4,11100000,3698552.667,6405211.663,11100000,4,0,0.0,0.0,0,0,0,0,0,0,80,0,0.360501378,0.0,6,6,6.0,0.0,0.0,0,0,0,0,1,0,0,0,0,7.5,6.0,0.0,80,0,0,0,0,0,0,4,24,0,0,256,-1,3,20,1004.0,0.0,1004,1004,11100000.0,0.0,11100000,11100000,DDoS,Friday-WorkingHours-Afternoon-DDos.pcap_ISCX.csv
80,71170688,8,6,56,11601,20,0,7.0,5.656854249,4380,0,1933.5,1757.789948,163.7893398,0.196710196,5474668.308,17500000.0,63300000,0,70200000,10000000.0,23600000.0,63300000,0,938626,187725.2,414775.4267,929668,15,0,0,0,0,172,132,0.112405826,0.08430437,0,4380,777.5333333,1434.571657,2057995.838,0,0,0,0,1,0,0,0,0,833.0714286,7.0,1933.5,172,0,0,0,0,0,0,8,56,6,11601,256,229,6,20,1016.0,0.0,1016,1016,35100000.0,39900000.0,63300000,6908953,DDoS,Friday-WorkingHours-Afternoon-DDos.pcap_ISCX.csv
80,855997,3,5,26,11601,20,0,8.666666667,10.26320288,7300,0,2320.2,3022.508098,13582.99153,9.345827147,122285.2857,321975.1899,852454,44,3286,1643.0,964.4936495,2325,961,855953,213988.25,425646.584,852454,48,0,0,0,0,72,112,3.50468518,5.841141967,0,7300,1291.888889,2460.652985,6054813.111,0,0,0,1,0,0,0,0,1,1453.375,8.666666667,2320.2,72,0,0,0,0,0,0,3,26,5,11601,8192,229,2,20,0.0,0.0,0,0,0.0,0.0,0,0,DDoS,Friday-WorkingHours-Afternoon-DDos.pcap_ISCX.csv
53,23940,1,1,59,75,59,59,59.0,0.0,75,75,75.0,0.0,5597.32665,83.54218881,23940.0,0.0,23940,23940,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,20,20,41.7710944,41.7710944,59,75,64.33333333,9.237604307,85.33333333,0,0,0,0,0,0,0,0,1,96.5,59.0,75.0,20,0,0,0,0,0,0,1,59,1,75,-1,-1,0,20,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN,Friday-WorkingHours-Afternoon-DDos.pcap_ISCX.csv
443,60466365,13,11,1070,3929,697,0,82.30769231,193.904781,2943,2,357.1818182,895.0765127,82.67406185,0.39691488,2628972.391,4450782.898,10000000,35,60500000,5038863.75,5213369.934,10100000,168,60400000,6038155.1,5154256.441,10100000,1593,0,0,0,0,272,224,0.21499556,0.18191932,0,2943,199.96,610.827477,373110.2067,0,0,0,1,0,0,0,0,0,208.2916667,82.30769231,357.1818182,272,0,0,0,0,0,0,13,1070,11,3929,8192,31365,12,20,122418.0,81954.97124,288633,84425,9955274.167,116981.6321,10000000,9716694,BENIGN,Friday-WorkingHours-Afternoon-DDos.pcap_ISCX.csv
